Company Name,Acct #,Dialed,L14 Dials,LTO,TZ,City,State,PWC,MOR,Days,Last Note,Campaign,Facebook,"Name (Last, First)",YELP,Google Advertiser,Association,Websites,Craigslist,Thumbtack,YellowPages,Better Business Bureau,Nextdoor,Houzz,High Needs,Pro Name,Pro Count,Con Name,Con Count,Bad Name,Bad Count,Local Count,Score,Score2,Combo
Western Upholstery Supply,126307539,N,0, - ,MST,"4244 Steele St, Denver, CO, 80216",CO,Furniture Repair & Refinish,T,0,5/17/2022,,N,http://westernupholsterysupply.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,2,0,0,0,-1,-2,-3
Auto Upholstery,126307569,N,0, - ,EST,"16520 Archer Ave, Jamaica, NY, 11433",NY,Furniture Repair & Refinish,T,0,5/17/2022,,N,https://www.localautoupholstery.com/New-York/Archer-Car-Wash-1650722,N,N,N,N,N,N,N,N,N,N,N,1,1,2,2,0,2,1,-1,-28,-28
Smith Auto Upholstery,126307590,N,0, - ,EST,"42 N Caroline St, Baltimore, MD, 21231",MD,Furniture Repair & Refinish,T,0,5/17/2022,,N,http://www.smithautoglass.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,1,0,0,0,-1,-3,-4
Southern Lighting and Traffic Systems,126308183,N,0, - ,CST,"1031 Elm Hill Pike, Nashville, TN, 37210",TN,Electrical,T,0,5/17/2022,,N,http://southernltg.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Independent Welding Sup,126308904,N,0, - ,,,,Welder,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,2,,0,,,-1,,
Pro Business Valuations Equipment Appraisal,126308481,N,0, - ,PST,"6083 N Figarden Dr #147, Fresno, CA, 93722",CA,Appraiser,T,0,5/17/2022,,N,http://www.probusinessvaluations.com/fresno-ca-business-valuation-appraiser,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Leo Lighting Grip Camera Rental,126308378,N,0, - ,MST,"1105 E Yandell Dr, El Paso, TX, TX, 79902-5524",TX,Electrical,T,0,5/17/2022,,N,http://leomarketing.com/lighting-grip-camera-rental/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,2,0,0,0,-1,-2,-3
Esab Welding Cutting Products,126308049,N,0, - ,EST,"801 Wilson Ave, Charlotte, NC, 28217",PA,HVAC,T,0,5/17/2022,,N,http://esabna.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
KPFF Consulting Engineers,126307243,N,0, - ,EST,"2000 M St NW Ste 750F, Washington, DC, 20036",DC,"Architects, Designers & Engineers",T,0,5/17/2022,,N,https://www.kpff.com/location/washington-dc,N,N,N,N,N,N,N,N,N,N,N,1,1,2,0,0,0,0,-1,2,1
Integrated Heat Treating Solutions,126308768,N,0, - ,EST,"336 Morgan Ave, Akron, OH, 44311",OH,HVAC,T,0,5/17/2022,,N,http://www.integratedheattreatingsolutions.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Riverside Computer Center,126307681,N,0, - ,PST,"Riverside, CA, 92507",CA,Audio/Visual,T,0,5/17/2022,,N,http://riversidecomputer.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Pro Tint Window Tinting and Auto Wraps,126307279,N,0, - ,,,,Doors & Windows,T,0,5/17/2022,,N,https://pro-tintwindows.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,0,0,0,0,-1,2,1
Sunbelt Rentals Flooring Solutions,126307880,N,0, - ,EST,"5480 Cloverleak Pkwy., Valley View, OH, 44125",OH,Flooring,T,0,5/17/2022,,N,https://www.sunbeltrentals.com/locations/oh/valley-view/flooring-equipment-rentals/1360/?utm_source=,N,N,N,N,N,N,N,N,N,N,N,1,1,2,3,0,0,0,-1,-4,-5
Sears Handyman Solutions,126307430,N,0, - ,PST,"4445 Eastgate Mall, San Diego, CA, 92121",CA,Handyman,T,0,5/17/2022,,N,http://www.searshandyman.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,1,0,0,0,-1,0,-1
Kelly s Quality Auto Upholstery,126307874,N,0, - ,EST,"1419 S Bumby Ave, Orlando, FL, 32806",FL,Furniture Repair & Refinish,T,0,5/17/2022,,N,http://go2kellys.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Lawless Off Road Metal Fabrication LLC,126308258,N,0, - ,CST,"Ave, Arabi, LA, 70032",LA,HVAC,T,0,5/17/2022,,N,https://www.facebook.com/LawlessOffroad/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,1,0,0,0,-1,-3,-4
Rieg s Security Training Center,126307863,N,0, - ,EST,"5512 S Orange Blossom Trl, Orlando, FL, 32839",FL,Security Services,T,0,5/17/2022,,N,https://riegsecurity.com/contact,N,N,N,N,N,N,N,N,N,N,N,1,1,2,0,0,0,0,-1,2,1
Living Stone Community Church,126307871,N,0, - ,EST,"3100 S Goldenrod Rd, Orlando, FL, 32822",FL,Stone & Tile,T,0,5/17/2022,,N,https://www.livingstonemissionary.org/home/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,1,0,0,0,-1,-3,-4
Upholstery Doctor,126275612,N,0, - ,EST,"1195 NW 71st St, Miami, FL, 33150",FL,Furniture Repair & Refinish,T,0,5/16/2022,,N,https://www.upholsterydoctor.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,2,0,0,0,-1,-2,-3
Custom Kreations Window Tinting,126307324,N,0, - ,EST,"7245 Campbell St, Taylor, MI, 48180",MI,Doors & Windows,T,0,5/17/2022,,N,https://www.facebook.com/customkreationswindowtint/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,1,0,0,0,-1,0,-1
Muscle Car Upholstery,126308595,N,0, - ,MST,"629 S 29th St, Colorado Springs, CO, 80904",CO,Furniture Repair & Refinish,T,0,5/17/2022,,N,http://rmupholstery.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,1,0,0,0,-1,0,-1
Desimone Consulting Engineers,126275574,N,0, - ,CST,"150 N Wacker Dr Ste 2660, Chicago, IL, 60606",IL,"Architects, Designers & Engineers",T,0,5/16/2022,,N,https://www.de-simone.com/firm/location/chicago/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Cole Management and Engineering,126308555,N,0, - ,PST,"2001 Salvio St Ste 8, Concord, CA, 94520",CA,"Architects, Designers & Engineers",T,0,5/17/2022,,N,http://www.cole-mgtandeng.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
American Kidney Stone Management,126308025,N,0, - ,EST,"100 W 3rd Ave Ste 350, Columbus, OH, 43201",OH,Stone & Tile,T,0,5/17/2022,,N,http://www.aksm.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Mandy Bierman Realtor Home Staging Expert,126308386,N,0, - ,CST,"3801 Union Dr, Omaha, NE, 68118",NE,"Architects, Designers & Engineers",T,0,5/17/2022,,N,http://bhhsamb.com/Mandy.Bierman,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Ellena Engineering Consultants,126308118,N,0, - ,CST,"700 Pilgrim Pkwy Ste 100, Elm Grove, WI, 53122",WI,"Architects, Designers & Engineers",T,0,5/17/2022,,N,http://www.ellenaengineering.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,1,0,0,0,-1,-3,-4
Sherwin Williams Paint Store,126307796,N,0, - ,,,,Painting,T,0,5/17/2022,,N,https://www.sherwin-williams.com/store-locator/paint-store/san-juan/pr/702868,N,N,N,N,N,N,N,N,N,N,N,1,0,2,3,0,0,0,-1,-7,-8
Engineering For Kids,126308822,N,0, - ,PST,"26359 Jefferson Ave, Murrieta, CA, 92562",CA,"Architects, Designers & Engineers",T,0,5/17/2022,,N,https://www.engineeringforkids.com/temecula/contact-us/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,2,0,0,0,-1,-5,-6
TRC Worldwide Engineering,126307504,N,0, - ,EST,"202 E 7th Ave, Tampa, FL, 33602",FL,"Architects, Designers & Engineers",T,0,5/17/2022,,N,http://trcww.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Vic s Upholstery Supply,126275525,N,0, - ,PST,"13820 Saticoy St, Panorama City, CA, 91402",CA,Furniture Repair & Refinish,T,0,5/16/2022,,N,https://vicsupholsterysupply.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,2,0,0,0,-1,-2,-3
Vanderbilt University Alumni Lawn,126308181,N,0, - ,CST,"2301 Vanderbilt Pl, Nashville, TN, 37240",AL,Lawn Care,T,0,5/17/2022,,N,https://fr.yelp.ca/biz/vanderbilt-university-alumni-lawn-nashville,N,N,N,N,N,N,N,N,N,N,N,1,1,2,2,0,0,0,-1,-2,-3
Global Irrigation Systems,126308355,N,0, - ,CST,"4800 N 23rd St, McAllen, TX, 78504",TX,Landscaping & Sprinklers,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,2,,0,,,-1,,
Pro Piano Movers and Storage,126275505,N,0, - ,PST,"20432 N Sea Cir, Lake Forest, CA, 92630",CA,Moving,T,0,5/16/2022,,N,https://propianomovers.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,1,0,0,0,-1,0,-1
Atek Engineering Consultants,126308342,N,0, - ,MST,"2015 N Forbes Blvd #103, Tucson, AZ, 85745",AZ,"Architects, Designers & Engineers",T,0,5/17/2022,,N,https://atekec.com/services/special-inspection-services,N,N,N,N,N,N,N,N,N,N,N,1,2,2,0,0,0,0,-1,5,4
Gadget Repair King Wireless,126307269,N,0, - ,,,,Additions and Remodels,T,0,5/17/2022,,N,https://www.facebook.com/gadgetrepairkingmobile/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,1,0,0,0,-1,0,-1
Tony s Auto Upholstery,126308500,N,0, - ,CST,"1430 N Utica Ave, Tulsa, OK, 74110",OK,Furniture Repair & Refinish,T,0,5/17/2022,,N,https://tonys-auto-upholstery.business.site/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,2,0,0,0,-1,-2,-3
J s Computer Clinic,126308763,N,0, - ,EST,"1256 Newton St, Akron, OH, 44305",OH,Audio/Visual,T,0,5/17/2022,,N,https://js-computer-clinic.business.site/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,1,0,0,0,-1,-3,-4
Global Protection Security,126307530,N,0, - ,MST,"2020 Clinton St, Aurora, CO, 80010",CO,Security Services,T,0,5/17/2022,,N,https://globalprotectionsecurity.com/index.php/2020/10/29/2020-cybersecurity-headlines-in-review/,N,N,N,N,N,N,N,N,N,N,N,1,2,2,1,0,0,0,-1,3,2
Home Staging Financial,126308728,N,0, - ,PST,"2485 Mccabe Way, Irvine, CA, 92614",CA,"Architects, Designers & Engineers",T,0,5/17/2022,,N,https://homestagingfinancial.com/contact/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,2,0,0,0,-1,-5,-6
Complete Computer Systems 4142361151,126308106,N,0, - ,CST,"1110N N Old World 3rd St, Milwaukee, WI, 53203",WI,Audio/Visual,T,0,5/17/2022,,N,http://www.ccsmilw.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Fountains at Emerald Park Apartments,126307344,N,0, - ,PST,"5095 Haven Pl, Dublin, CA, 94568",CA,Fountain and Pond,T,0,5/17/2022,,N,https://www.fountainsatemeraldpark.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Nights Watch Private Security Patrol,126308808,N,0, - ,PST,"5330 Office Ctr Ct Ste 61, Bakersfield, CA, 93309",CA,Security Services,T,0,5/17/2022,,N,http://nightswatchsecurity.com/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,0,0,0,0,-1,2,1
West Farms Welding Mach Company,126307933,N,0, - ,EST,"1425 E 180th St, Bronx, NY, 10460",NY,Welder,T,0,5/17/2022,,N,http://machineco.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,0,0,-1,-1,-2
Helping Hands Child Development Center,126307708,N,0, - ,PST,"8201 Arlington Ave Ste G, Riverside, CA, 92503",CA,Handyman,T,0,5/17/2022,,N,http://www.helpinghandsriverside.com/,N,N,N,N,N,N,N,N,N,N,N,1,0,2,0,0,1,0,-1,-14,-15
Office cleaning Rancho Santa Margarita 92688,126308695,N,0, - ,PST,"Mission Viejo, CA, 92692",NV,Cleaning Services,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,2,,0,,,-1,,
Twin Fountain Plaza Management,126307941,N,0, - ,CST,"9717 N Lamar Blvd, Austin, TX, 78753",TX,Fountain and Pond,T,0,5/17/2022,,N,,N,N,N,N,N,N,N,N,N,N,N,1,,2,,0,,,-1,,
Alexis Welding Express,126275613,N,0, - ,EST,"3945 NW 32nd Ave Ste 9, Miami, FL, 33142",FL,Welder,T,0,5/16/2022,,N,https://aweldingexpress.business.site/,N,N,N,N,N,N,N,N,N,N,N,1,1,2,0,0,0,0,-1,2,1
