Prospecting Data,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Company Name,Contact Name,,BusinessPhone,,,,Email,,,,,PWC,,,
San Jose Flooring And Cabients,75,houzz.com/professionals/tile-and-stone/san-jose-flooring-and-cabients-pfvwus-pf~1325800932,9042622882,9042622212,,houzz.com/professionals/tile-and-stone/san-jose-flooring-and-cabients-pfvwus-pf~1325800932,,9825 San Jose Blvd,,Vancouver,32257,32,Tile & Stone,houzz.com/professionals/tile-and-stone/san-jose-flooring-and-cabients-pfvwus-pf~1325800932---Retail store selling Cabinets caountertops wood carpet area rugs tile vinyl laminate and LVP.,
Rq Tileworks Inc,79,houzz.com/professionals/tile-and-stone/rq-tileworks-inc-pfvwus-pf~310516978,9103672571,9103672571,,houzz.com/professionals/tile-and-stone/rq-tileworks-inc-pfvwus-pf~310516978,,4817 Navigation rd. SE,,Vancouver,28461,74,Tile & Stone,houzz.com/professionals/tile-and-stone/rq-tileworks-inc-pfvwus-pf~310516978---Tile And Stone Installation\r\nServing  Brunswick CountyNC\r\nfor 20 Years,
R D Tile,95,houzz.com/professionals/tile-and-stone/r-d-tile-pfvwus-pf~1132863314,5302771112,,,houzz.com/professionals/tile-and-stone/r-d-tile-pfvwus-pf~1132863314,,16191 Norlene Way,,Vancouver,95949,74,Tile & Stone,houzz.com/professionals/tile-and-stone/r-d-tile-pfvwus-pf~1132863314---Tile and Granite Installation,
Premium Hard Surfaces Inc,95,houzz.com/professionals/tile-and-stone/premium-hard-surfaces-inc-pfvwus-pf~1132482254,8137490852,8139255878,,houzz.com/professionals/tile-and-stone/premium-hard-surfaces-inc-pfvwus-pf~1132482254,,9420 Lazy Lane,,Vancouver,33614,8,Tile & Stone,houzz.com/professionals/tile-and-stone/premium-hard-surfaces-inc-pfvwus-pf~1132482254---Tile & Stone\r\nHardwood Floors & Laminate\r\nMaterials and Installations,
Oceanside Glass And Tile,383,houzz.com/professionals/tile-and-stone/oceanside-glass-and-tile-pfvwus-pf~1577070988,7606040202,,,houzz.com/professionals/tile-and-stone/oceanside-glass-and-tile-pfvwus-pf~1577070988,,5858 Edison Place,,Vancouver,92008,22,Tile & Stone,houzz.com/professionals/tile-and-stone/oceanside-glass-and-tile-pfvwus-pf~1577070988---True Artisan Heritage\r\n\r\nOceanside Glasstile was founded in 1992 with a boundless spirit of innovation a passion for hot glass and a new vision for the tile industry — creating luxury glass tile using recycled bottle glass. As pioneers of handcrafted glass tile we continue to pursue timeless design that preserves honors and furthers our true artisan heritage.   -- Materials crafted with up to 85% recycled bottle glass,
Northern Flooring,75,houzz.com/professionals/tile-and-stone/northern-flooring-pfvwus-pf~1133063182,9893660515,9893661525,,houzz.com/professionals/tile-and-stone/northern-flooring-pfvwus-pf~1133063182,,441 w west branch rd,,Vancouver,48651,32,Tile & Stone,houzz.com/professionals/tile-and-stone/northern-flooring-pfvwus-pf~1133063182---flooring retailer,
Natural Stone Designs Inc,33023,houzz.com/professionals/tile-and-stone/natural-stone-designs-inc-pfvwus-pf~755059141,5036128600,5032184121,,houzz.com/professionals/tile-and-stone/natural-stone-designs-inc-pfvwus-pf~755059141,,18880 SW Teton,,Vancouver,97268,74,Tile & Stone,houzz.com/professionals/tile-and-stone/natural-stone-designs-inc-pfvwus-pf~755059141---Natural Stone Designs both fabricates and installs natural and engineered stone products. Because we do our fabrication in-house you can be assured of excellent work and careful quality control. In fact Natural Stone Designs is accredited by the Marble Institute of America a rigorous process that guarantees you are working with a company the follows the guidelines set by the Marble Institute of America  in all aspects of fabrication and installation of natural stone. This ensures we will use the best practices for a quality product and a quality installation. \n\nAs part of Columbia Stone we import our own stone from all over the world allowing us to cut out the middleman and pass the savings along to you.,
Natural Stone And Tile,95,houzz.com/professionals/tile-and-stone/natural-stone-and-tile-pfvwus-pf~1132584982,9528464300,,,houzz.com/professionals/tile-and-stone/natural-stone-and-tile-pfvwus-pf~1132584982,,3451 West Burnsville Parkway,,Vancouver,55337,74,Tile & Stone,houzz.com/professionals/tile-and-stone/natural-stone-and-tile-pfvwus-pf~1132584982---Natural Stone & Tile has served Minnesota as a direct tile importer since 2004. We pride ourselves on excellent customer service and providing the best products for the best possible prices.,
My Tile Backsplash,127,houzz.com/professionals/tile-and-stone/my-tile-backsplash-pfvwus-pf~1166097973,6143171899,6145430444,,houzz.com/professionals/tile-and-stone/my-tile-backsplash-pfvwus-pf~1166097973,,8595 Columbus Pike,,Vancouver,43035,74,Tile & Stone,houzz.com/professionals/tile-and-stone/my-tile-backsplash-pfvwus-pf~1166097973---My Tile Backsplash is a leading retailer of glass tiles ceramic tile natural stone mosiacs cabinet and bath hardware switchplates and much more.  Make sure to visit our site.,
Mid Atlantic Stone Inc,75,houzz.com/professionals/tile-and-stone/mid-atlantic-stone-inc-pfvwus-pf~688596683,8434578197,8439031103,,houzz.com/professionals/tile-and-stone/mid-atlantic-stone-inc-pfvwus-pf~688596683,,PO Box 50148,,Vancouver,29579,74,Tile & Stone,houzz.com/professionals/tile-and-stone/mid-atlantic-stone-inc-pfvwus-pf~688596683---Tile and Stone Importer and distributor,
Luxury Marble And Granite Design Inc,127,houzz.com/professionals/tile-and-stone/luxury-marble-and-granite-design-inc-pfvwus-pf~184638854,7736562125,7734271106,,houzz.com/professionals/tile-and-stone/luxury-marble-and-granite-design-inc-pfvwus-pf~184638854,,3206 N Kilpatrick Ave.,,Vancouver,60641,8,Tile & Stone,houzz.com/professionals/tile-and-stone/luxury-marble-and-granite-design-inc-pfvwus-pf~184638854---Fabrication and Installation of Marble & Granite Quartz Quartzite Slate Limestone Slate Porcelain Slabs.,
Legacy Marble And Granite,127,houzz.com/professionals/tile-and-stone/legacy-marble-and-granite-pfvwus-pf~880984521,4194207440,4194207441,,houzz.com/professionals/tile-and-stone/legacy-marble-and-granite-pfvwus-pf~880984521,,229 Stanford Parkway,,Vancouver,45840,8,Tile & Stone,houzz.com/professionals/tile-and-stone/legacy-marble-and-granite-pfvwus-pf~880984521---Findlay's largest selection of Granite and Quartz.,
Latera Architectural Surfaces Dorado Stone,33663,houzz.com/professionals/tile-and-stone/latera-architectural-surfaces-dorado-stone-pfvwus-pf~1635845663,5124448600,5124448601,,houzz.com/professionals/tile-and-stone/latera-architectural-surfaces-dorado-stone-pfvwus-pf~1635845663,,3601 S. Congress H-100,,Vancouver,78704,5,Tile & Stone,houzz.com/professionals/tile-and-stone/latera-architectural-surfaces-dorado-stone-pfvwus-pf~1635845663---Established in 2007 Dorado Stone Distributors is Texas’s most premier wholesale slab resource offering Dorado Soapstone Vetrazzo recycled glass and other unique surface materials.  Our in-depth knowledge of surface products & extensive market experience makes Dorado the natural choice for an alternative slab yard when the goal is hands-on customer service creative design consultation and exceptional product selection.\n\nWhile other stone companies focus on slab volume Dorado focuses on unique and sophisticated products that you won’t see at other yards. Every product Dorado offers is selected to satisfy a distinct niche in the surfacing market.  Dorado promotes quality over quantity.  From the moment you first contact Dorado until you’re hosting a party for friends and family in your new kitchen Dorado will be with you every step of the way.   Our friendly and knowledgeable sales staff will be there to answer any questions and make sure you select the perfect slab for you and your lifestyle.,
Lake Norman Granite Cabinetry,607,houzz.com/professionals/tile-and-stone/lake-norman-granite-cabinetry-pfvwus-pf~687989735,7046633275,7046633242,,houzz.com/professionals/tile-and-stone/lake-norman-granite-cabinetry-pfvwus-pf~687989735,,963 N Highway 16,,Vancouver,28037,8,Tile & Stone,houzz.com/professionals/tile-and-stone/lake-norman-granite-cabinetry-pfvwus-pf~687989735---Lake Norman Granite + Cabinetry is the premier fabricator of granite quartz and marble in the Lake Norman and Charlotte area.  We have expanded our services to include cabinetry.  Our family-owned business provides outstanding service at competitive prices.,
Jt Venuto Custom Tilework,91,houzz.com/professionals/tile-and-stone/jt-venuto-custom-tilework-pfvwus-pf~1636217215,6103085051,,,houzz.com/professionals/tile-and-stone/jt-venuto-custom-tilework-pfvwus-pf~1636217215,,2951 Hannah Avenue,,Vancouver,19401,74,Tile & Stone,houzz.com/professionals/tile-and-stone/jt-venuto-custom-tilework-pfvwus-pf~1636217215---Installation of ceramic porcelain and natural stone tile in residential and commercial applications.,
John Crino Tile L L C,75,houzz.com/professionals/tile-and-stone/john-crino-tile-l-l-c-pfvwus-pf~629279841,8132056271,,,houzz.com/professionals/tile-and-stone/john-crino-tile-l-l-c-pfvwus-pf~629279841,,1706 Gardner Dr,,Vancouver,33559,74,Tile & Stone,houzz.com/professionals/tile-and-stone/john-crino-tile-l-l-c-pfvwus-pf~629279841---tile and marble contractor,
Jm Tike And Stone,75,houzz.com/professionals/tile-and-stone/jm-tike-and-stone-pfvwus-pf~563489803,5198175646,,,houzz.com/professionals/tile-and-stone/jm-tike-and-stone-pfvwus-pf~563489803,,,,Windsor,N9C 2A3,74,Tile & Stone,houzz.com/professionals/tile-and-stone/jm-tike-and-stone-pfvwus-pf~563489803---High quality Tile and Interior Stone Installations at affordable prices. Priding ourselves in a hard working manor working with integrity.,Zip Not Valid
Jenkins Brick And Tile,75,houzz.com/professionals/tile-and-stone/jenkins-brick-and-tile-pfvwus-pf~436224902,2059883913,2059883916,,houzz.com/professionals/tile-and-stone/jenkins-brick-and-tile-pfvwus-pf~436224902,,2299 pelham parkway,,Vancouver,35124,16,Tile & Stone,houzz.com/professionals/tile-and-stone/jenkins-brick-and-tile-pfvwus-pf~436224902---Brick tile & stone sales,
Jason Brambach Tile Installations,95,houzz.com/professionals/tile-and-stone/jason-brambach-tile-installations-pfvwus-pf~2047050286,2705564807,,,houzz.com/professionals/tile-and-stone/jason-brambach-tile-installations-pfvwus-pf~2047050286,,315 N. 9th Street,,Vancouver,42001,74,Tile & Stone,houzz.com/professionals/tile-and-stone/jason-brambach-tile-installations-pfvwus-pf~2047050286---Tile Installations including heated floors and backsplash/ countertop lighting.,
Infinity Floors Inc,33023,houzz.com/professionals/tile-and-stone/infinity-floors-inc-pfvwus-pf~469871065,6312321500,6312321529,,houzz.com/professionals/tile-and-stone/infinity-floors-inc-pfvwus-pf~469871065,,95D Hoffman Lane,,Vancouver,11749,32,Tile & Stone,houzz.com/professionals/tile-and-stone/infinity-floors-inc-pfvwus-pf~469871065---Lima Ceramic Tile is a major importer of the finest European ceramic and porcelain tile in Stamford CT. \r\n\r\nResearching and sourcing ceramic natural stone and glass tile from the finest European manufactures and supplies Lima Ceramic Tile brings the refined style and class from overseas to your fingertips. \r\n\r\nWe have one of the largest inventories of tile combining Old World charm with European elegance and contemporary style. Carrying a large selection of marble granite limestone tumbled stone and glass mosaics Lima Ceramic also has a wide selection of pieces to fit what you’re looking for. \r\n\r\nAt Lima Ceramic Tile we understand that our customers are all unique and each has their own style when it comes to how they choose to decorate their home or workplace. Our dedicated staff will help you achieve these goals with our specialist knowledge to help you choose something that fits your style budget and lifestyle. \r\n\r\nVisit our showroom to see our huge selection of tile borders and other complementary components and we’ll be happy to help transform your house and enhance your daily surroundings at Lima Ceramic.,
Imagine Tile And Stone,75,houzz.com/professionals/tile-and-stone/imagine-tile-and-stone-pfvwus-pf~688115443,3362924993,3362926671,,houzz.com/professionals/tile-and-stone/imagine-tile-and-stone-pfvwus-pf~688115443,,5586 Garden Village Way,,Vancouver,27410,74,Tile & Stone,houzz.com/professionals/tile-and-stone/imagine-tile-and-stone-pfvwus-pf~688115443---Tile and Stone Sales,
Hyde Park Tile And Stone Inc,79,houzz.com/professionals/tile-and-stone/hyde-park-tile-and-stone-inc-pfvwus-pf~1225226791,8134344977,8134820025,,houzz.com/professionals/tile-and-stone/hyde-park-tile-and-stone-inc-pfvwus-pf~1225226791,,3202 W Kennedy Blvd,,Vancouver,33609,74,Tile & Stone,houzz.com/professionals/tile-and-stone/hyde-park-tile-and-stone-inc-pfvwus-pf~1225226791---Hyde Park Tile & Stone is Tampa Bay’s home for quality tile and expert advice.  Located on Kennedy Boulevard in the heart of Tampa’s design district we have quickly become the go-to tile showroom for those involved in the design of homes and commercial spaces in the central Florida region.,
Groutworks,79,houzz.com/professionals/tile-and-stone/groutworks-pfvwus-pf~629192609,7275725995,7275725254,,houzz.com/professionals/tile-and-stone/groutworks-pfvwus-pf~629192609,,Feather Sound,,Vancouver,33762,74,Tile & Stone,houzz.com/professionals/tile-and-stone/groutworks-pfvwus-pf~629192609---Refurbishing of tile and grout.  Cleaning Staining Sealing Regrouting Repair.,
Grout Revive,78,houzz.com/professionals/tile-and-stone/grout-revive-pfvwus-pf~92316065,(855) 473-8483,,,houzz.com/professionals/tile-and-stone/grout-revive-pfvwus-pf~92316065,,,,Vancouver,,74,Tile & Stone,houzz.com/professionals/tile-and-stone/grout-revive-pfvwus-pf~92316065---Clean color and seal grout with Grout Revive Grout Paint Grout Stain.  Revive your current color grout or change your grout color entirely.\r\nGrout Paint,Phone Not Valid -- Zip Not Valid
Fogleman Carpet Service,75,houzz.com/professionals/tile-and-stone/fogleman-carpet-service-pfvwus-pf~596169658,2768895222,,,houzz.com/professionals/tile-and-stone/fogleman-carpet-service-pfvwus-pf~596169658,,,,Vancouver,,11,Tile & Stone,houzz.com/professionals/tile-and-stone/fogleman-carpet-service-pfvwus-pf~596169658---We are a local flooring store in business for 30 years .we offer in store sales of most anything that goes on the floor,
Factpass Construction Llc,79,houzz.com/professionals/tile-and-stone/factpass-construction-llc-pfvwus-pf~436370126,6125626572,,,houzz.com/professionals/tile-and-stone/factpass-construction-llc-pfvwus-pf~436370126,,,,Vancouver,55372,2,Tile & Stone,houzz.com/professionals/tile-and-stone/factpass-construction-llc-pfvwus-pf~436370126---Our mission is to provide first class service and workmanship with unmatched reliability and professionalism clean up like \ no other contractor ever has\,
Exact Tile,33663,houzz.com/professionals/tile-and-stone/exact-tile-pfvwus-pf~1199665224,8656931298,8656925082,,houzz.com/professionals/tile-and-stone/exact-tile-pfvwus-pf~1199665224,,108 Hayfield Road,,Vancouver,37922,74,Tile & Stone,houzz.com/professionals/tile-and-stone/exact-tile-pfvwus-pf~1199665224---Exact Tile Inc was established in 1999 and since then has become one of the most requested tile design supply and installation companies in the area. We have built our reputation based on providing high-quality materials design service and installation for our clients. Showroom assistance is available by appointment. Text or call 865.693.1298 to schedule. \r\n\r\n-     We are always serving General Contractors Architects and Interior Designers. While our company’s main projects are high end residential Exact Tile is equipped to supply and install commercial projects large or small.\r\n-     Exact Tile offers one of a kind customer service in house design and superb installation. We purchase direct from exclusive manufactures so we are able to be very competitive with pricing and selections. With on staff CCTS certified designers the selections and designs are guided through the necessary steps of a successful project. We take pride in hiring the best available talent in the tile industry - a testament to our expertise.\r\n-     Exact Tile is one of the few suppliers in the area that can provide sales design and installation with tile and stone being our specialty. \r\n-     Keeping up with the industry standards and trends are important to our team. The company is a member of the National Tile Council of America and the Ceramic Tile Distribution Association. Exact Tile is also involved with the Interior Design Society of East Tennessee Knoxville Chamber of Commerce Knoxville Chapter of Construction Specifications Institute and the Tennessee Chapter of International Interior Design Association.\r\n\r\nOur Mission: Exact Tile Inc has built their business on Character Integrity and Servicing Customers to the highest standard.,
European Stone Masonry Llc,95,houzz.com/professionals/tile-and-stone/european-stone-masonry-llc-pfvwus-pf~1954557873,9198321880,,,houzz.com/professionals/tile-and-stone/european-stone-masonry-llc-pfvwus-pf~1954557873,,,,Vancouver,27604,16,Tile & Stone,houzz.com/professionals/tile-and-stone/european-stone-masonry-llc-pfvwus-pf~1954557873---We provide masonry services to homeowners home builders and businesses in Raleigh NC and across the Triangle. Trusted since 1985 we're known for fine stonework of enduring craftsmanship and beauty. Owner Joe Valles is a master stonemason with over 30 years of experience.\r\n \r\nEuropean Stone Masonry LLC handcrafts natural stone walls patios outdoor fireplaces and distinctive custom hardscapes. We invite you to browse our website. You'll find dozens of photos ideas and inspiration for your next home or garden project. Discover why details make all the difference.,
Envision By Marble Discount,79,houzz.com/professionals/tile-and-stone/envision-by-marble-discount-pfvwus-pf~755019809,7634948663,7633153600,,houzz.com/professionals/tile-and-stone/envision-by-marble-discount-pfvwus-pf~755019809,,21860 Industrial Ct  Suite 200,,Vancouver,55374,8,Tile & Stone,houzz.com/professionals/tile-and-stone/envision-by-marble-discount-pfvwus-pf~755019809---Marble Discount is a Minnesota-based company specializing in high end natural stone and decorative glass tiles.  Marble Discount buys containers of product direct from many countries around the world and are able to produce custom colors with our glass and Stone products with no up charging.,
Elite Stone And Tile Care,207,houzz.com/professionals/tile-and-stone/elite-stone-and-tile-care-pfvwus-pf~939946703,4075677660,,,houzz.com/professionals/tile-and-stone/elite-stone-and-tile-care-pfvwus-pf~939946703,,230 Springview Commerce Drive,,Vancouver,32713,74,Tile & Stone,houzz.com/professionals/tile-and-stone/elite-stone-and-tile-care-pfvwus-pf~939946703---Restoring & Maintaining Your Stone & Tile Floors and Surfaces. We clean polish restore seal and maintain all marble granite limestone travertine and other natural stone engineered stone and tile & grout floors and surfaces.,
Elite Granite And Marble Restoration,75,houzz.com/professionals/tile-and-stone/elite-granite-and-marble-restoration-pfvwus-pf~1988479392,3305467394,3305467394,,houzz.com/professionals/tile-and-stone/elite-granite-and-marble-restoration-pfvwus-pf~1988479392,,801 21st Street NE,,Vancouver,44714,8,Tile & Stone,houzz.com/professionals/tile-and-stone/elite-granite-and-marble-restoration-pfvwus-pf~1988479392---We are a natural stone and tile repair restoration and installtion company located in Canton Ohio.  Our stone and tile specialist Mark Renick has nearly 30 years in the tile industry and 22 years in the natural stone industry.  We strive to provide professional expert services and a superior customer experience. \r\nWe serve both residential and commercial clients.,
Dugan Paints,203,houzz.com/professionals/tile-and-stone/dugan-paints-pfvwus-pf~1887478439,5733489017,5733027264,,houzz.com/professionals/tile-and-stone/dugan-paints-pfvwus-pf~1887478439,,4295 osage beach parkway,,Vancouver,65065,55,Tile & Stone,houzz.com/professionals/tile-and-stone/dugan-paints-pfvwus-pf~1887478439---Flooring and Paint store,
Cutting Edge Concrete,95,houzz.com/professionals/tile-and-stone/cutting-edge-concrete-pfvwus-pf~251877716,9492807956,9492807956,,houzz.com/professionals/tile-and-stone/cutting-edge-concrete-pfvwus-pf~251877716,,7203 Sound Drive,,Vancouver,28594,16,Tile & Stone,houzz.com/professionals/tile-and-stone/cutting-edge-concrete-pfvwus-pf~251877716---Decorative Concrete Services,
Custom Granite Rocks Inc,95,houzz.com/professionals/tile-and-stone/custom-granite-rocks-inc-pfvwus-pf~662730680,8133689109,8636834580,,houzz.com/professionals/tile-and-stone/custom-granite-rocks-inc-pfvwus-pf~662730680,,1248 George Jenkins Blvs.B3,,Vancouver,33815,8,Tile & Stone,houzz.com/professionals/tile-and-stone/custom-granite-rocks-inc-pfvwus-pf~662730680---Over 30 years experience in craftmanship in granite fabrication  install MarbleOnyx  we do all Quartz  Cambria Silestone Ceaserstone,
Creative Stone Llc,91,houzz.com/professionals/tile-and-stone/creative-stone-llc-pfvwus-pf~251888936,2036241882,2036241146,,houzz.com/professionals/tile-and-stone/creative-stone-llc-pfvwus-pf~251888936,,355 James St,,Vancouver,06513,74,Tile & Stone,houzz.com/professionals/tile-and-stone/creative-stone-llc-pfvwus-pf~251888936---Natural stone & Quartz Counter tops\r\nVanity tops\r\nFireplace surrounds\r\nOutdoor Kitchen Counter tops,
Creative Flooring Concepts,75,houzz.com/professionals/tile-and-stone/creative-flooring-concepts-pfvwus-pf~629625029,5732681768,,,houzz.com/professionals/tile-and-stone/creative-flooring-concepts-pfvwus-pf~629625029,,3302 Talent Dr,,Vancouver,65201,32,Tile & Stone,houzz.com/professionals/tile-and-stone/creative-flooring-concepts-pfvwus-pf~629625029---Floor coverings installation company,
Country Custom Tile,95,houzz.com/professionals/tile-and-stone/country-custom-tile-pfvwus-pf~662893232,9048916596,,,houzz.com/professionals/tile-and-stone/country-custom-tile-pfvwus-pf~662893232,,8570 Rampart Rd,,Vancouver,32244,74,Tile & Stone,houzz.com/professionals/tile-and-stone/country-custom-tile-pfvwus-pf~662893232---We are a first class Jacksonville Tile Installation Contractor that can help you add character to any room in your home or office. We specialize in ceramic porcelain and glass tile. We also have many years of experience working with natural stones like granite travertine and marble.,
Ceramiche Tile And Stone Inc,223,houzz.com/professionals/tile-and-stone/ceramiche-tile-and-stone-inc-pfvwus-pf~1887559639,4129225600,4129229855,,houzz.com/professionals/tile-and-stone/ceramiche-tile-and-stone-inc-pfvwus-pf~1887559639,,510 S. Main St,,Vancouver,15220,74,Tile & Stone,houzz.com/professionals/tile-and-stone/ceramiche-tile-and-stone-inc-pfvwus-pf~1887559639---Ceramiche (Italian for Ceramic !) is a high style showroom chocked full of design ideas ! We cater to designers architects contractors and their clients to assist in unique selections and planning. Our goal is to have the clients enjoy their project as much as we do in making their dreams come true !,
Carolina Grout Works,75,houzz.com/professionals/tile-and-stone/carolina-grout-works-pfvwus-pf~914399360,7044306318,,,houzz.com/professionals/tile-and-stone/carolina-grout-works-pfvwus-pf~914399360,,2112 Wright Ave,,Vancouver,27403,74,Tile & Stone,houzz.com/professionals/tile-and-stone/carolina-grout-works-pfvwus-pf~914399360---Tile grout cleaning restoration repair and permanent color sealing,
