Acct #,(Required),"Name (Last, First)",Dialed,L14 Dials,TZ,City,State,PWC,MOR,Days,Last Note
72874956,Scott's Services,,N,0,EST,,MI,Cleaning Services,T,0,01/31/2022
72875079,J J Services,,N,0,EST,,FL,Cleaning Services,T,0,01/31/2022
72875111,Almikes Services,,N,0,CST,,MN,Cleaning Services,T,0,01/31/2022
72875195,John Orth Services,,N,0,EST,,NC,Maid Service,T,0,01/31/2022
72908819,Tim's Power Washing Service,,N,0,EST,,NC,Cleaning Services,T,0,01/31/2022
72908924,S&M Pressure Washer,,N,0,CST,,MS,Cleaning Services,T,0,01/31/2022
72908996,Make it Sparkle,,N,0,EST,,OH,Cleaning Services,T,0,01/31/2022
72909072,Essential Services,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
72909209,Willennium Turn Service,,N,0,EST,,GA,Cleaning Services,T,0,01/31/2022
72909210,J Vega Services,,N,0,EST,,MA,Cleaning Services,T,0,01/31/2022
72897788,A Marc of All Trades,,N,0,,,,Handyman,T,0,01/31/2022
72897520,Godspeed Services,,N,0,,,,Maid Service,T,0,01/31/2022
72941133,ModSpace,,N,0,EST,Berwyn,PA,Maid Service,T,0,01/31/2022
72952674,Biological Envio Service Technicians,,N,0,EST,Hicksville,NY,Maid Service,T,0,01/31/2022
72962198,Professional Services,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
72962330,Keondra's Self Service,,N,0,EST,,GA,Cleaning Services,T,0,01/31/2022
72962439,N and J Services,,N,0,CST,,TX,Handyman,T,0,01/31/2022
72962771,Vern Allen Cleanout Services,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
72962857,D's Cleanout,,N,0,CST,,MO,Cleaning Services,T,0,01/31/2022
73062083,LaMFieldService,,N,0,CST,,IL,Maid Service,T,0,01/31/2022
73062381,Home Aid,,N,0,PST-2,,HI,Maid Service,T,0,01/31/2022
73062594,Blue Bilingual Services,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73062839,Manzo Services,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
73063137,Boo's Caring Service,,N,0,CST,,TN,Maid Service,T,0,01/31/2022
73063173,Toby's Editorial Services,,N,0,EST,,OH,Maid Service,T,0,01/31/2022
73063194,Laura Dombrowski Creative Services,,N,0,CST,,WI,Maid Service,T,0,01/31/2022
73063297,KleinDesign,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73063388,ESB Bookkeeping Service,,N,0,CST,,IL,Cleaning Services,T,0,01/31/2022
73063601,Caesar's Friendly Neighborhood Services,,N,0,EST,,NC,Cleaning Services,T,0,01/31/2022
73063639,BK Life Services,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73064004,Dorothy's Secretarial Services,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73064160,Joyce's Tutoring Service,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73064255,Creative Tutoring Service,,N,0,CST,,LA,Maid Service,T,0,01/31/2022
73064393,Anointed Touch Day Spa,,N,0,PST,,OR,Cleaning Services,T,0,01/31/2022
73064648,Mike's Property Cleanup,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73064646,Randy's Cleanup Services,,N,0,CST,,MN,Cleaning Services,T,0,01/31/2022
73064758,All In One Services,,N,0,EST,,FL,Cleaning Services,T,0,01/31/2022
73064927,Tamara's Cleanup,,N,0,EST,,NY,Cleaning Services,T,0,01/31/2022
73064985,Shahid's Bookeeping Services,,N,0,EST,,NY,Cleaning Services,T,0,01/31/2022
73065106,Chloe's Services,,N,0,CST,,WI,Cleaning Services,T,0,01/31/2022
73065300,Spanish tutoring and interpreting,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73065595,JHunterCamp Private Chef Services,,N,0,EST,,GA,Maid Service,T,0,01/31/2022
73065603,Sturm Tutoring Service,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73065672,Sacred Health Services,,N,0,EST,,GA,Maid Service,T,0,01/31/2022
73065769,Mike and Makaila's Clean Cleanout,,N,0,EST,,GA,Cleaning Services,T,0,01/31/2022
73065839,MK Service,,N,0,EST,,GA,Maid Service,T,0,01/31/2022
73119049,Dinora's Proper Spanish,,N,0,PST,,WA,Maid Service,T,0,01/31/2022
73119266,GenCon Services,,N,0,EST,,OH,Maid Service,T,0,01/31/2022
73119300,SV Services,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73119652,Jenna's Drink Service,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73119697,Michelle's HR Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73119918,Tammy's Tidy Service,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
73119951,Golden Coast Services,,N,0,EST,,MD,Cleaning Services,T,0,01/31/2022
73120059,"Divine Dreams Services, Inc",,N,0,MST,,AZ,Cleaning Services,T,0,01/31/2022
73120111,English & Spanish Translation and Interpreting Services,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73120090,Lawrence Rehab Services,,N,0,EST,,DC,Maid Service,T,0,01/31/2022
73120085,T and R Service,,N,0,EST,,OH,Cleaning Services,T,0,01/31/2022
73120132,Spic n Span Housecleaning,,N,0,EST,,PA,Cleaning Services,T,0,01/31/2022
73120185,Hilary's Spanish,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73120267,Bria's Variating Services,,N,0,EST,,OH,Cleaning Services,T,0,01/31/2022
73120353,Shonice's Tutoring Services,,N,0,CST,,IL,Maid Service,T,0,01/31/2022
73120401,Highlander Human Services,,N,0,MST,,AZ,Cleaning Services,T,0,01/31/2022
73120455,Bumble Bea Business Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73120577,T Money DJ Service,,N,0,PST,,CA,Handyman,T,0,01/31/2022
73120632,Emily's Tutoring Service,,N,0,EST,,SC,Maid Service,T,0,01/31/2022
73120798,Sunco Services,,N,0,EST,,IN,Cleaning Services,T,0,01/31/2022
73120970,RL IT Services,,N,0,EST,,MI,Cleaning Services,T,0,01/31/2022
73120963,Toni Home Caring,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73120960,K.A.B. Secretarial Services,,N,0,PST,,NV,Maid Service,T,0,01/31/2022
73121069,A+ Property Cleanup,,N,0,CST,,MN,Cleaning Services,T,0,01/31/2022
73121550,Klassy Cleaning,,N,0,CST,,FL,Cleaning Services,T,0,01/31/2022
73121592,Yary's Bilingual Service,,N,0,EST,,PA,Maid Service,T,0,01/31/2022
73121654,SHANNCO SERVICES,,N,0,MST,,NM,Cleaning Services,T,0,01/31/2022
73121858,"Chef Steve Personal Chef Service, LLC",,N,0,CST,,TN,Maid Service,T,0,01/31/2022
73122287,Ruth's Transcription Service,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73122369,Mike's Cleanup and Metal Detecting,,N,0,CST,,TN,Cleaning Services,T,0,01/31/2022
73122383,Juan's Services,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73122387,On The Spot Services,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73122990,Classic Services,,N,0,EST,,FL,Cleaning Services,T,0,01/31/2022
73208435,John's Tutoring Service,,N,0,EST,,NC,Maid Service,T,0,01/31/2022
73208451,AJ Tutoring Service,,N,0,PST,,NV,Maid Service,T,0,01/31/2022
73208512,Coastal Machine & Industrial Services,,N,0,EST,,VA,Cleaning Services,T,0,01/31/2022
73208496,On the Fly Chef Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73208521,Harvey's Tutoring Service,,N,0,EST,,NY,Maid Service,T,0,01/31/2022
73209235,Host of Sparrows,,N,0,EST,,VA,Cleaning Services,T,0,01/31/2022
73209604,Erin's Tutoring Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73209704,Sharon's Transcription Services,,N,0,EST,,NC,Maid Service,T,0,01/31/2022
73210210,Annette's Services,,N,0,CST,,IL,Cleaning Services,T,0,01/31/2022
73210370,Younique Day Spa,,N,0,EST,,MD,Handyman,T,0,01/31/2022
73210506,Scott's Secretarial Service,,N,0,MST,,CO,Maid Service,T,0,01/31/2022
73210812,Cheap Services LLC,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73210908,Mark's Services,,N,0,EST,,CT,Cleaning Services,T,0,01/31/2022
73211261,Sparkles,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73211412,Superior Mobile Services,,N,0,MST,,SD,Cleaning Services,T,0,01/31/2022
73211935,Dearborn Public Schools,"KURTH, LAURIE",N,0,EST,,MI,Cleaning Services,T,0,01/31/2022
73212516,Chaps Honest Affordable Professional Services,,N,0,MST,,AZ,Maid Service,T,0,01/31/2022
73212526,American Immigration Services,,N,0,EST,,VA,Maid Service,T,0,01/31/2022
73212607,Transcription Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73214412,Al Translating Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73214707,Sparkle,,N,0,CST,,IL,Cleaning Services,T,0,01/31/2022
73214801,Dreamers Services,,N,0,MST,,NM,Maid Service,T,0,01/31/2022
73214895,Crystal Clean Service,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73215133,Matthew's Dana Point IT Services,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73215155,Make Me Sparkle,,N,0,EST,,NJ,Cleaning Services,T,0,01/31/2022
73215369,Laura's Transcription and Typing Services,,N,0,CST,,TX,Handyman,T,0,01/31/2022
73215735,Laboy Services,,N,0,EST,,MA,Maid Service,T,0,01/31/2022
73216108,RDI Services,,N,0,EST,,MD,Maid Service,T,0,01/31/2022
73216455,Tru)!(Raw services,,N,0,EST,,SC,Cleaning Services,T,0,01/31/2022
73216717,Andrea's Services,,N,0,MST,,AZ,Cleaning Services,T,0,01/31/2022
73216802,Masonary,,N,0,EST,,PA,Maid Service,T,0,01/31/2022
73216963,CpmService,,N,0,CST,,IL,Maid Service,T,0,01/31/2022
73217163,AP Therapy Health Services,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73217181,DesignPro,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73217490,Mines Sparkles,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73232040,Pasadena Professional Services,"Tax, Jc",N,0,PST,,CA,Maid Service,T,0,01/31/2022
73232082,Sam's Math Tutoring Service,,N,0,EST,,KY,Maid Service,T,0,01/31/2022
73232328,NuDesign,,N,0,EST,,CT,Maid Service,T,0,01/31/2022
73232348,Lucy's Services,,N,0,EST,,NY,Cleaning Services,T,0,01/31/2022
73232602,YMAdesign,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73232617,Boda Spanish Tutoring Services,,N,0,CST,,MN,Maid Service,T,0,01/31/2022
73233016,Spaflower,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73233293,Business Services of Alabama,,N,0,CST,,AL,Cleaning Services,T,0,01/31/2022
73233461,SS Services,,N,0,EST,,MI,Maid Service,T,0,01/31/2022
73233518,Sakshi House Service,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73233616,Wash Your Business & Home,,N,0,EST,,FL,Cleaning Services,T,0,01/31/2022
73234161,Karen Services,,N,0,EST,,NJ,Cleaning Services,T,0,01/31/2022
73234351,Mya's Tutoring Services,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73234998,The Sweet Mimosa Day Spa,"Clanton, Rachael",N,0,CST,,OK,Maid Service,T,0,01/31/2022
73235285,Brenda's Services,,N,0,CST,,IL,Cleaning Services,T,0,01/31/2022
73235870,Wray's Services,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
73236056,Tyler's Dg Services,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73236900,Angie's Home Cooked,,N,0,EST,,VA,Maid Service,T,0,01/31/2022
73238100,Marie Mulhern Private Chef Services,,N,0,EST,,VA,Maid Service,T,0,01/31/2022
73238730,Rong's Chinese Language Services,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73239194,Adrienne's Copywriting Services,,N,0,EST,,PA,Maid Service,T,0,01/31/2022
73239232,Stay Home Mom,,N,0,CST,,LA,Handyman,T,0,01/31/2022
73239258,Relocation Services of San Antonio,,N,0,CST,,TX,Handyman,T,0,01/31/2022
73239582,D & D Media Services,"Duke, Delores",N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
73262038,Pro Service,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73263083,Richard's Tutoring Services,,N,0,EST,,NY,Maid Service,T,0,01/31/2022
73263095,Above & Beyond Services,,N,0,MST,,CO,Cleaning Services,T,0,01/31/2022
73307879,Advanced Linguistics Language Service Provider,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73307899,Mel's Tutoring Service,,N,0,EST,,NY,Maid Service,T,0,01/31/2022
73308144,Cataline Caring Dog Services,,N,0,EST,,SC,Maid Service,T,0,01/31/2022
73308247,Alan's Spanish Lesson,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73308430,Venky Home Tutions,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73308514,P&I Services,,N,0,MST,,AZ,Cleaning Services,T,0,01/31/2022
73308588,J&R Services,,N,0,EST,,TN,Cleaning Services,T,0,01/31/2022
73308628,Hudson's Cleanup,,N,0,EST,,KY,Cleaning Services,T,0,01/31/2022
73308674,Kyle's Services,,N,0,MST,,AZ,Cleaning Services,T,0,01/31/2022
73308759,Atish The Spanish Tutor,,N,0,CST,,MO,Maid Service,T,0,01/31/2022
73309118,Sara's Services,,N,0,CST,,LA,Cleaning Services,T,0,01/31/2022
73309112,Daniel's Private Chef Service,,N,0,EST,,TN,Maid Service,T,0,01/31/2022
73309202,Mr. Roger's Services,,N,0,EST,,PA,Maid Service,T,0,01/31/2022
73309400,The Browns Service,,N,0,EST,,MI,Cleaning Services,T,0,01/31/2022
73309426,Chef Services of Fayette County,,N,0,EST,,KY,Maid Service,T,0,01/31/2022
73309466,Kevin's Mobile IT Services,,N,0,MST,,AZ,Cleaning Services,T,0,01/31/2022
73309577,Carmen's Spanish Translation,,N,0,CST,,LA,Maid Service,T,0,01/31/2022
73309633,Zuzu Translation Services,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73309665,Gastronomicdiva Personal Chef Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73309989,Midsouth Cleanout,,N,0,CST,,TN,Cleaning Services,T,0,01/31/2022
73310074,Cynthia's Tutoring Services,,N,0,EST,,MD,Maid Service,T,0,01/31/2022
73310133,Brynn's Doggy Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73310324,J & K Keeping It Clean,,N,0,EST,,GA,Cleaning Services,T,0,01/31/2022
73310366,IT Plus Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73310385,NetServices,,N,0,EST,,NJ,Maid Service,T,0,01/31/2022
73310404,Morgan's Services,,N,0,EST,,NC,Cleaning Services,T,0,01/31/2022
73310666,Winston Services,,N,0,EST,,VA,Cleaning Services,T,0,01/31/2022
73310687,Bronge Labor Service,,N,0,CST,,WI,Handyman,T,0,01/31/2022
73310776,Lisa Smillie Copywriting Services,,N,0,PST,,OR,Maid Service,T,0,01/31/2022
73310849,Sparkle,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73310898,Susan's Services,,N,0,EST,,NC,Cleaning Services,T,0,01/31/2022
73311174,Arika's House and Nanny Service,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73311297,Spanish for Everyone,,N,0,EST,,IN,Maid Service,T,0,01/31/2022
73311553,Three Ring Service,,N,0,CST,,TX,Handyman,T,0,01/31/2022
73311625,Pressure Washing at Its Best,,N,0,EST,,GA,Cleaning Services,T,0,01/31/2022
73311711,Brett's Services,,N,0,EST,,SC,Cleaning Services,T,0,01/31/2022
73311881,SAHM Working From Home,,N,0,EST,,GA,Handyman,T,0,01/31/2022
73312055,Tavares Special House Services,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73312154,Sparkle and Shine,,N,0,EST,,NY,Cleaning Services,T,0,01/31/2022
73351166,Homemaker,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73351427,K&G Private Investigative Services,,N,0,CST,,IL,Maid Service,T,0,01/31/2022
73351454,Lasandra's Services,,N,0,EST,,NY,Cleaning Services,T,0,01/31/2022
73351631,Jackie's Misc. Services,,N,0,EST,,FL,Cleaning Services,T,0,01/31/2022
73351722,Youngen's House & Business Services,,N,0,EST,,NJ,Maid Service,T,0,01/31/2022
73351841,3H Interpreter Services,,N,0,CST,,ND,Maid Service,T,0,01/31/2022
73351969,Carl's Power Wash Service,,N,0,EST,,FL,Cleaning Services,T,0,01/31/2022
73352423,H&R Unlimited Services,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73352605,Tom's Cleanup Service,,N,0,CST,,IL,Cleaning Services,T,0,01/31/2022
73352762,Miss Madeline's Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73352819,Sandy's Lifestyle and Home Concierge,,N,0,EST,,GA,Cleaning Services,T,0,01/31/2022
73353087,Suzette's Transcription Services,,N,0,CST,,MO,Maid Service,T,0,01/31/2022
73353381,Rantinanravyn @ Your Service,,N,0,EST,,OH,Maid Service,T,0,01/31/2022
73353503,Rev's Marrying Service,,N,0,MST,,AZ,Maid Service,T,0,01/31/2022
73353591,Sparkles,,N,0,MST,,CO,Cleaning Services,T,0,01/31/2022
73353773,JCS Services,,N,0,EST,,PA,Maid Service,T,0,01/31/2022
73353839,Spanntastic,,N,0,CST,,WI,Maid Service,T,0,01/31/2022
73354864,DB I BLDG Services,,N,0,CST,,TX,Cleaning Services,T,0,01/31/2022
73354854,Bell's Services,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73354904,Oberon IT Services,,N,0,EST,,MI,Maid Service,T,0,01/31/2022
73354942,James Cleanup I do,,N,0,EST,,NJ,Cleaning Services,T,0,01/31/2022
73354964,Gary's Pressure Washing,,N,0,EST,,NC,Cleaning Services,T,0,01/31/2022
73354966,AJT Services,,N,0,EST,,MI,Cleaning Services,T,0,01/31/2022
73354986,Double D Power Washer,,N,0,EST,,VA,Cleaning Services,T,0,01/31/2022
73355043,Keith's Power Washing & More,,N,0,EST,,OH,Cleaning Services,T,0,01/31/2022
73355083,Welcome Home,,N,0,EST,,SC,Maid Service,T,0,01/31/2022
73355106,Moores Junk Removal and Cleanout,,N,0,EST,,PA,Cleaning Services,T,0,01/31/2022
73355109,eDesigners.net,,N,0,MST,,AZ,Maid Service,T,0,01/31/2022
73355148,"Lingua Franca, Customized Spanish and English for Business",,N,0,EST,,DE,Maid Service,T,0,01/31/2022
73355218,North Slaterville Services-New Legacy,,N,0,EST,,MI,Cleaning Services,T,0,01/31/2022
73355324,Sky Services,,N,0,CST,,MN,Cleaning Services,T,0,01/31/2022
73355450,Sonyia Sparklin,,N,0,EST,,MI,Cleaning Services,T,0,01/31/2022
73355614,CMJ Professional Services,,N,0,EST,,NY,Maid Service,T,0,01/31/2022
73355989,The TRUE Type - Administrative Services,,N,0,EST,,IN,Maid Service,T,0,01/31/2022
73356419,Lyon Services,,N,0,EST,,CT,Maid Service,T,0,01/31/2022
73356771,House Call Personal Care Services,,N,0,CST,,TN,Maid Service,T,0,01/31/2022
73356921,Jacky's French Services,,N,0,EST,,MD,Maid Service,T,0,01/31/2022
73358272,Chris' Services,,N,0,PST,,OR,Cleaning Services,T,0,01/31/2022
73358383,Leanne's Services,,N,0,EST,,TN,Cleaning Services,T,0,01/31/2022
73358643,SGabrielDesign,,N,0,CST,,IL,Maid Service,T,0,01/31/2022
73358864,Professional Editing Services,,N,0,CST,,IL,Maid Service,T,0,01/31/2022
73359351,Nikki's Beautician on Wheels Service,,N,0,EST,,NY,Cleaning Services,T,0,01/31/2022
73359883,Chelsie's Services,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73360079,Selena's Services,,N,0,CST,,WI,Cleaning Services,T,0,01/31/2022
73360197,C P Service,,N,0,EST,,NY,Maid Service,T,0,01/31/2022
73360360,Lori's Services,,N,0,EST,,CT,Cleaning Services,T,0,01/31/2022
73360410,Foreign Enterprises,,N,0,CST,,TX,Maid Service,T,0,01/31/2022
73360920,Elizabeth's Interpretation Service,,N,0,EST,,TN,Maid Service,T,0,01/31/2022
73360999,Swined & Dined Personal Chef Services,,N,0,EST,,MD,Maid Service,T,0,01/31/2022
73361444,Begum's Translation Services,,N,0,EST,,MD,Cleaning Services,T,0,01/31/2022
73469477,Clean Works Electric,,N,0,PST,Escondido,CA,Cleaning Services,T,0,01/31/2022
73532624,Garrett's Tutoring Service,,N,0,PST,,WA,Maid Service,T,0,01/31/2022
73532772,Singh Janitoral Services,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73532938,Chef Rodriguez Services,,N,0,EST,,RI,Maid Service,T,0,01/31/2022
73532954,Sparkle My Love,,N,0,EST,,NJ,Cleaning Services,T,0,01/31/2022
73533218,Sparkie the Clown,,N,0,PST,,NV,Maid Service,T,0,01/31/2022
73533254,Donna's Bookkeeping Service,,N,0,EST,,NJ,Cleaning Services,T,0,01/31/2022
73533285,MindFull Designz,,N,0,EST,,PA,Maid Service,T,0,01/31/2022
73533360,M&M Services,,N,0,CST,,OK,Cleaning Services,T,0,01/31/2022
73533355,M&L Power Cleaner,,N,0,EST,,NJ,Cleaning Services,T,0,01/31/2022
73533781,Kim's Cleaning,,N,0,EST,,GA,Cleaning Services,T,0,01/31/2022
73533792,Val's House Services,,N,0,PST,,CA,Maid Service,T,0,01/31/2022
73533947,Sherry's Silly Services,,N,0,CST,,IL,Maid Service,T,0,01/31/2022
73533957,Best Spanish Lessons,,N,0,EST,,NY,Maid Service,T,0,01/31/2022
73533943,Renegade Services,,N,0,PST,,CA,Cleaning Services,T,0,01/31/2022
73534167,Suds and Sparkles,,N,0,CST,,AL,Cleaning Services,T,0,01/31/2022
73534355,Khyana's Mulitple Services,,N,0,EST,,NY,Cleaning Services,T,0,01/31/2022
73534348,Deanna's Beauty Services,,N,0,EST,,FL,Maid Service,T,0,01/31/2022
73534418,Keri's Services,,N,0,CST,,WI,Cleaning Services,T,0,01/31/2022
73535106,Shana's Private Chef Service,,N,0,EST,,MA,Maid Service,T,0,01/31/2022
73535085,Vital Services,,N,0,EST,,RI,Cleaning Services,T,0,01/31/2022
